,dt,u,v,sp
0,0,21.827639,10.2968645,24.777647
1,7,13.070087,11.815094,18.067602
2,14,8.662108,8.341593,12.139303
3,21,2.5760684,3.6196575,4.8450212
4,28,5.7957244,3.859544,7.22055
5,35,1.4888889,2.1074083,2.8307562
6,42,8.137036,2.846153,8.668038
7,49,3.0162396,-2.5868952,4.1853366
8,56,4.148431,2.0404549,4.715161
9,63,4.954414,-2.2384608,5.8194633
10,70,1.3367522,-0.40769228,1.9626145
11,77,8.441596,-0.83931607,8.972301
12,84,6.10541,-2.4669514,7.7122536
13,91,4.8396015,2.666665,5.8254657
14,98,1.3840456,2.737323,3.2308147
15,105,1.6723645,1.3512826,2.749109
16,112,4.7262096,3.330483,5.816335
17,119,5.837607,2.856411,6.801523
18,126,1.5068383,0.82336235,2.0157974
19,133,-3.4076936,-3.03305,4.588669
20,140,0.7937323,-0.04216515,1.446826
21,147,0.6871792,-2.1113956,2.5516932
22,154,3.0547006,1.3304838,3.5650902
23,161,3.2410333,-0.08358659,3.2592187
24,168,1.077631,-1.5046054,1.9929314
25,175,1.4356863,-0.4490199,1.6812804
26,182,-3.8414845,-4.56725,6.604875
27,189,3.6210835,1.8469883,4.391617
28,196,6.6625957,0.65343505,6.881546
29,203,2.75,2.15,3.4914074
30,210,-4.25,1.55,4.523924
31,217,,,
32,224,-3.4,7.3,8.05295
33,231,,,
34,238,,,
35,245,,,
36,252,,,
37,259,,,
38,266,,,
39,273,,,
40,280,,,
41,287,,,
42,294,-7.4,0.14999995,7.58787
43,301,6.863121,8.46383,11.073794
44,308,15.691482,12.612306,20.29816
45,315,4.401138,0.7347569,5.336228
46,322,2.1925926,-0.11367504,3.761656
47,329,10.260109,2.5427358,10.819567
48,336,9.788033,4.7131066,11.344283
49,343,5.829059,10.157267,12.03602
50,350,11.930771,3.7575495,12.528372
51,357,5.920515,3.7119677,7.1085696
52,365,16.713673,3.5045593,17.823067
53,372,21.05527,2.0153852,22.074768
54,379,-2.1857548,1.5905979,3.8152328
55,386,-3.317094,-1.7834753,3.8447425
56,393,5.4202294,4.897435,7.4202695
57,400,5.4051275,5.187749,7.5410595
58,407,3.5037043,1.5951571,4.3504825
59,414,8.340454,5.9538455,10.57945
60,421,-1.3564103,-0.39173773,1.468385
61,428,0.7034187,0.4877494,0.9730414
62,435,1.2843308,0.75242156,1.7041235
63,442,11.245867,0.6529922,11.463403
64,449,17.520798,6.4737887,18.988089
65,456,3.7735047,2.923362,5.4597654
66,463,0.059829064,0.106837854,2.3851514
67,470,2.7148144,0.43760708,3.3035002
68,477,8.060972,4.7515674,10.081367
69,484,1.2566953,2.5851858,3.3085513
70,491,4.8415976,2.4726489,5.502616
71,498,6.2880354,-0.21168078,6.5901604
72,505,5.0626793,4.460968,6.867221
73,512,1.6413101,1.9350433,2.5874987
