year,open_area,open_area_b80,open_extent_80,avg_sic
2003,3765.1682643732947,2327.888324065965,4548.931010601855,98.3581575543693
2004,2050.794128065539,516.2840287840031,1221.0539546564046,99.10847396850586
2005,2809.1341940912075,620.528006548226,1410.2011081597532,98.77805028336772
2006,3718.551034209134,1066.477681741195,2516.17795682336,98.38131285249517
2007,5162.213121771499,2429.1701026701717,4638.3537624076025,97.75169218256232
2008,4428.891727487945,2551.0466540327757,5430.4178236435355,98.06878390842014
2009,5021.8945355185,893.4854270260746,2474.660233092256,97.81819958633251
2010,2445.373081496194,500.4983309232658,1152.4809109124567,98.9247484428938
2011,2227.0545732994897,256.8908676708387,729.649469296623,99.03193501676067
2012,,,,
2013,4096.980727895988,1279.3234823982561,2886.080779163171,98.21700209714054
2014,4463.698012361414,2389.601870783121,4202.902520028757,98.05344759480337
2015,7130.359777484445,2610.947203365267,4481.5586792925615,96.89598417817876
2016,14145.068868809096,11375.741021115797,17395.420220042877,93.81979039510091
2017,4830.908413712979,1778.3658440985405,3472.183421063543,97.89610427684998
2018,7608.193319547646,2061.742757024162,4473.198710203171,96.69290058264572
2019,7776.055670118929,3549.9442056763623,7097.610984593228,96.57073112936581
2020,8739.292624803657,2192.915883541792,5364.215385003531,96.1981334262424
2021,3599.1710737480703,1534.5242466982095,2773.926499559415,98.43137985400939
2022,5932.409760170356,1777.0346340815877,3647.3872457923653,97.38879065080123
